Date and Time, Read Value - kWh (kilowatt hours), Reading quality
25/12/22 23:30, 0.014, Actual
25/12/22 23:35, 0, Actual
25/12/22 23:35, 0.011, Actual
25/12/22 23:40, 0, Actual
25/12/22 23:40, 0.011, Actual
25/12/22 23:45, 0, Actual
25/12/22 23:45, 0.015, Actual
25/12/22 23:50, 0, Actual
25/12/22 23:50, 0.014, Actual
25/12/22 23:55, 0, Actual
25/12/22 23:55, 0.015, Actual
26/12/22 00:00, 0, Actual
26/12/22 00:00, 0.014, Actual
26/12/22 00:05, 0, Actual
26/12/22 00:05, 0.015, Actual
26/12/22 00:10, 0, Actual
26/12/22 00:10, 0.014, Actual
26/12/22 00:15, 0, Actual
26/12/22 00:15, 0.011, Actual
26/12/22 00:20, 0, Actual
26/12/22 00:20, 0.011, Actual
26/12/22 00:25, 0, Actual
26/12/22 00:25, 0.012, Actual
26/12/22 00:30, 0, Actual
26/12/22 00:30, 0.014, Actual
26/12/22 00:35, 0, Actual
26/12/22 00:35, 0.015, Actual
26/12/22 00:40, 0, Actual
26/12/22 00:40, 0.014, Actual
26/12/22 00:45, 0, Actual
26/12/22 00:45, 0.014, Actual
26/12/22 00:50, 0, Actual
26/12/22 00:50, 0.014, Actual
26/12/22 00:55, 0, Actual
26/12/22 00:55, 0.01, Actual
26/12/22 01:00, 0, Actual
26/12/22 01:00, 0.011, Actual
26/12/22 01:05, 0, Actual
26/12/22 01:05, 0.012, Actual
26/12/22 01:10, 0, Actual
26/12/22 01:10, 0.014, Actual
26/12/22 01:15, 0, Actual
26/12/22 01:15, 0.015, Actual
26/12/22 01:20, 0, Actual
26/12/22 01:20, 0.014, Actual
26/12/22 01:25, 0, Actual
26/12/22 01:25, 0.014, Actual
26/12/22 01:30, 0, Actual
26/12/22 01:30, 0.012, Actual
26/12/22 01:35, 0, Actual
26/12/22 01:35, 0.011, Actual
26/12/22 01:40, 0, Actual
26/12/22 01:40, 0.01, Actual
26/12/22 01:45, 0, Actual
26/12/22 01:45, 0.014, Actual
26/12/22 01:50, 0, Actual
26/12/22 01:50, 0.014, Actual
26/12/22 01:55, 0, Actual
26/12/22 01:55, 0.014, Actual
26/12/22 02:00, 0, Actual
26/12/22 02:00, 0.014, Actual
26/12/22 02:05, 0, Actual
26/12/22 02:05, 0.015, Actual
26/12/22 02:10, 0, Actual
26/12/22 02:10, 0.01, Actual
26/12/22 02:15, 0, Actual
26/12/22 02:15, 0.011, Actual
26/12/22 02:20, 0, Actual
26/12/22 02:20, 0.011, Actual
26/12/22 02:25, 0, Actual
26/12/22 02:25, 0.014, Actual
26/12/22 02:30, 0, Actual
26/12/22 02:30, 0.014, Actual
26/12/22 02:35, 0, Actual
26/12/22 02:35, 0.015, Actual
26/12/22 02:40, 0, Actual
26/12/22 02:40, 0.014, Actual
26/12/22 02:45, 0, Actual
26/12/22 02:45, 0.012, Actual
26/12/22 02:50, 0, Actual
26/12/22 02:50, 0.011, Actual
26/12/22 02:55, 0, Actual
26/12/22 02:55, 0.01, Actual
26/12/22 03:00, 0, Actual
26/12/22 03:00, 0.013, Actual
26/12/22 03:05, 0, Actual
26/12/22 03:05, 0.014, Actual
26/12/22 03:10, 0, Actual
26/12/22 03:10, 0.015, Actual
26/12/22 03:15, 0, Actual
26/12/22 03:15, 0.014, Actual
26/12/22 03:20, 0, Actual
26/12/22 03:20, 0.014, Actual
26/12/22 03:25, 0, Actual
26/12/22 03:25, 0.01, Actual
26/12/22 03:30, 0, Actual
26/12/22 03:30, 0.011, Actual
26/12/22 03:35, 0, Actual
26/12/22 03:35, 0.011, Actual
26/12/22 03:40, 0, Actual
26/12/22 03:40, 0.014, Actual
26/12/22 03:45, 0, Actual
26/12/22 03:45, 0.015, Actual
26/12/22 03:50, 0, Actual
26/12/22 03:50, 0.014, Actual
26/12/22 03:55, 0, Actual
26/12/22 03:55, 0.014, Actual
26/12/22 04:00, 0, Actual
26/12/22 04:00, 0.011, Actual
26/12/22 04:05, 0, Actual
26/12/22 04:05, 0.011, Actual
26/12/22 04:10, 0, Actual
26/12/22 04:10, 0.01, Actual
26/12/22 04:15, 0, Actual
26/12/22 04:15, 0.014, Actual
26/12/22 04:20, 0, Actual
26/12/22 04:20, 0.014, Actual
26/12/22 04:25, 0, Actual
26/12/22 04:25, 0.015, Actual
26/12/22 04:30, 0, Actual
26/12/22 04:30, 0.013, Actual
26/12/22 04:35, 0, Actual
26/12/22 04:35, 0.011, Actual
26/12/22 04:40, 0, Actual
26/12/22 04:40, 0.01, Actual
26/12/22 04:45, 0, Actual
26/12/22 04:45, 0.01, Actual
26/12/22 04:50, 0, Actual
26/12/22 04:50, 0.013, Actual
26/12/22 04:55, 0, Actual
26/12/22 04:55, 0.013, Actual
26/12/22 05:00, 0, Actual
26/12/22 05:00, 0.014, Actual
26/12/22 05:05, 0, Actual
26/12/22 05:05, 0.013, Actual
26/12/22 05:10, 0, Actual
26/12/22 05:10, 0.011, Actual
26/12/22 05:15, 0, Actual
26/12/22 05:15, 0.01, Actual
26/12/22 05:20, 0, Actual
26/12/22 05:20, 0.01, Actual
26/12/22 05:25, 0, Actual
26/12/22 05:25, 0.013, Actual
26/12/22 05:30, 0, Actual
26/12/22 05:30, 0.013, Actual
26/12/22 05:35, 0, Actual
26/12/22 05:35, 0.014, Actual
26/12/22 05:40, 0, Actual
26/12/22 05:40, 0.014, Actual
26/12/22 05:45, 0, Actual
26/12/22 05:45, 0.011, Actual
26/12/22 05:50, 0, Actual
26/12/22 05:50, 0.01, Actual
26/12/22 05:55, 0, Actual
26/12/22 05:55, 0.01, Actual
26/12/22 06:00, 0, Actual
26/12/22 06:00, 0.012, Actual
26/12/22 06:05, 0, Actual
26/12/22 06:05, 0.014, Actual
26/12/22 06:10, 0, Actual
26/12/22 06:10, 0.014, Actual
26/12/22 06:15, 0, Actual
26/12/22 06:15, 0.013, Actual
26/12/22 06:20, 0, Actual
26/12/22 06:20, 0.011, Actual
26/12/22 06:25, 0, Actual
26/12/22 06:25, 0.01, Actual
26/12/22 06:30, 0, Actual
26/12/22 06:30, 0.009, Actual
26/12/22 06:35, 0, Actual
26/12/22 06:35, 0.011, Actual
26/12/22 06:40, 0, Actual
26/12/22 06:40, 0.013, Actual
26/12/22 06:45, 0, Actual
26/12/22 06:45, 0.013, Actual
26/12/22 06:50, 0, Actual
26/12/22 06:50, 0.013, Actual
26/12/22 06:55, 0, Actual
26/12/22 06:55, 0.011, Actual
26/12/22 07:00, 0, Actual
26/12/22 07:00, 0.009, Actual
26/12/22 07:05, 0, Actual
26/12/22 07:05, 0.01, Actual
26/12/22 07:10, 0, Actual
26/12/22 07:10, 0.011, Actual
26/12/22 07:15, 0, Actual
26/12/22 07:15, 0.013, Actual
26/12/22 07:20, 0, Actual
26/12/22 07:20, 0.013, Actual
26/12/22 07:25, 0, Actual
26/12/22 07:25, 0.014, Actual
26/12/22 07:30, 0, Actual
26/12/22 07:30, 0.01, Actual
26/12/22 07:35, 0, Actual
26/12/22 07:35, 0.01, Actual
26/12/22 07:40, 0, Actual
26/12/22 07:40, 0.01, Actual
26/12/22 07:45, 0, Actual
26/12/22 07:45, 0.011, Actual
26/12/22 07:50, 0, Actual
26/12/22 07:50, 0.01, Actual
26/12/22 07:55, 0, Actual
26/12/22 07:55, 0.106, Actual
26/12/22 08:00, 0, Actual
26/12/22 08:00, 0.07, Actual
26/12/22 08:05, 0, Actual
26/12/22 08:05, 0.029, Actual
26/12/22 08:10, 0, Actual
26/12/22 08:10, 0.029, Actual
26/12/22 08:15, 0, Actual
26/12/22 08:15, 0.028, Actual
26/12/22 08:20, 0, Actual
26/12/22 08:20, 0.044, Actual
26/12/22 08:25, 0, Actual
26/12/22 08:25, 0.026, Actual
26/12/22 08:30, 0, Actual
26/12/22 08:30, 0.029, Actual
26/12/22 08:35, 0, Actual
26/12/22 08:35, 0.029, Actual
26/12/22 08:40, 0, Actual
26/12/22 08:40, 0.028, Actual
26/12/22 08:45, 0, Actual
26/12/22 08:45, 0.025, Actual
26/12/22 08:50, 0, Actual
26/12/22 08:50, 0.044, Actual
26/12/22 08:55, 0, Actual
26/12/22 08:55, 0.041, Actual
26/12/22 09:00, 0, Actual
26/12/22 09:00, 0.039, Actual
26/12/22 09:05, 0, Actual
26/12/22 09:05, 0.039, Actual
26/12/22 09:10, 0, Actual
26/12/22 09:10, 0.038, Actual
26/12/22 09:15, 0, Actual
26/12/22 09:15, 0.044, Actual
26/12/22 09:20, 0, Actual
26/12/22 09:20, 0.052, Actual
26/12/22 09:25, 0, Actual
26/12/22 09:25, 0.051, Actual
26/12/22 09:30, 0, Actual
26/12/22 09:30, 0.052, Actual
26/12/22 09:35, 0, Actual
26/12/22 09:35, 0.047, Actual
26/12/22 09:40, 0, Actual
26/12/22 09:40, 0.032, Actual
26/12/22 09:45, 0, Actual
26/12/22 09:45, 0.037, Actual
26/12/22 09:50, 0, Actual
26/12/22 09:50, 0.04, Actual
26/12/22 09:55, 0, Actual
26/12/22 09:55, 0.043, Actual
26/12/22 10:00, 0, Actual
26/12/22 10:00, 0.051, Actual
26/12/22 10:05, 0, Actual
26/12/22 10:05, 0.051, Actual
26/12/22 10:10, 0, Actual
26/12/22 10:10, 0.05, Actual
26/12/22 10:15, 0, Actual
26/12/22 10:15, 0.051, Actual
26/12/22 10:20, 0, Actual
26/12/22 10:20, 0.045, Actual
26/12/22 10:25, 0, Actual
26/12/22 10:25, 0.03, Actual
26/12/22 10:30, 0, Actual
26/12/22 10:30, 0.023, Actual
26/12/22 10:35, 0, Actual
26/12/22 10:35, 0.027, Actual
26/12/22 10:40, 0, Actual
26/12/22 10:40, 0.03, Actual
26/12/22 10:45, 0, Actual
26/12/22 10:45, 0.031, Actual
26/12/22 10:50, 0, Actual
26/12/22 10:50, 0.028, Actual
26/12/22 10:55, 0, Actual
26/12/22 10:55, 0.042, Actual
26/12/22 11:00, 0, Actual
26/12/22 11:00, 0.319, Actual
26/12/22 11:05, 0, Actual
26/12/22 11:05, 0.063, Actual
26/12/22 11:10, 0, Actual
26/12/22 11:10, 0.053, Actual
26/12/22 11:15, 0, Actual
26/12/22 11:15, 0.051, Actual
26/12/22 11:20, 0, Actual
26/12/22 11:20, 0.046, Actual
26/12/22 11:25, 0, Actual
26/12/22 11:25, 0.07, Actual
26/12/22 11:30, 0, Actual
26/12/22 11:30, 0.049, Actual
26/12/22 11:35, 0, Actual
26/12/22 11:35, 0.055, Actual
26/12/22 11:40, 0, Actual
26/12/22 11:40, 0.058, Actual
26/12/22 11:45, 0, Actual
26/12/22 11:45, 0.057, Actual
26/12/22 11:50, 0, Actual
26/12/22 11:50, 0.058, Actual
26/12/22 11:55, 0, Actual
26/12/22 11:55, 0.053, Actual
26/12/22 12:00, 0, Actual
26/12/22 12:00, 0.051, Actual
26/12/22 12:05, 0, Actual
26/12/22 12:05, 0.056, Actual
26/12/22 12:10, 0, Actual
26/12/22 12:10, 0.059, Actual
26/12/22 12:15, 0, Actual
26/12/22 12:15, 0.059, Actual
26/12/22 12:20, 0, Actual
26/12/22 12:20, 0.059, Actual
26/12/22 12:25, 0, Actual
26/12/22 12:25, 0.056, Actual
26/12/22 12:30, 0, Actual
26/12/22 12:30, 0.052, Actual
26/12/22 12:35, 0, Actual
26/12/22 12:35, 0.053, Actual
26/12/22 12:40, 0, Actual
26/12/22 12:40, 0.058, Actual
26/12/22 12:45, 0, Actual
26/12/22 12:45, 0.06, Actual
26/12/22 12:50, 0, Actual
26/12/22 12:50, 0.06, Actual
26/12/22 12:55, 0, Actual
26/12/22 12:55, 0.052, Actual
26/12/22 13:00, 0, Actual
26/12/22 13:00, 0.052, Actual
26/12/22 13:05, 0, Actual
26/12/22 13:05, 0.052, Actual
26/12/22 13:10, 0, Actual
26/12/22 13:10, 0.058, Actual
26/12/22 13:15, 0, Actual
26/12/22 13:15, 0.057, Actual
26/12/22 13:20, 0, Actual
26/12/22 13:20, 0.057, Actual
26/12/22 13:25, 0, Actual
26/12/22 13:25, 0.054, Actual
26/12/22 13:30, 0, Actual
26/12/22 13:30, 0.053, Actual
26/12/22 13:35, 0, Actual
26/12/22 13:35, 0.053, Actual
26/12/22 13:40, 0, Actual
26/12/22 13:40, 0.057, Actual
26/12/22 13:45, 0, Actual
26/12/22 13:45, 0.058, Actual
26/12/22 13:50, 0, Actual
26/12/22 13:50, 0.058, Actual
26/12/22 13:55, 0, Actual
26/12/22 13:55, 0.057, Actual
26/12/22 14:00, 0, Actual
26/12/22 14:00, 0.059, Actual
26/12/22 14:05, 0, Actual
26/12/22 14:05, 0.059, Actual
26/12/22 14:10, 0, Actual
26/12/22 14:10, 0.065, Actual
26/12/22 14:15, 0, Actual
26/12/22 14:15, 0.064, Actual
26/12/22 14:20, 0, Actual
26/12/22 14:20, 0.065, Actual
26/12/22 14:25, 0, Actual
26/12/22 14:25, 0.062, Actual
26/12/22 14:30, 0, Actual
26/12/22 14:30, 0.06, Actual
26/12/22 14:35, 0, Actual
26/12/22 14:35, 0.06, Actual
26/12/22 14:40, 0, Actual
26/12/22 14:40, 0.063, Actual
26/12/22 14:45, 0, Actual
26/12/22 14:45, 0.064, Actual
26/12/22 14:50, 0, Actual
26/12/22 14:50, 0.064, Actual
26/12/22 14:55, 0, Actual
26/12/22 14:55, 0.065, Actual
26/12/22 15:00, 0, Actual
26/12/22 15:00, 0.07, Actual
26/12/22 15:05, 0, Actual
26/12/22 15:05, 0.063, Actual
26/12/22 15:10, 0, Actual
26/12/22 15:10, 0.067, Actual
26/12/22 15:15, 0, Actual
26/12/22 15:15, 0.066, Actual
26/12/22 15:20, 0, Actual
26/12/22 15:20, 0.071, Actual
26/12/22 15:25, 0, Actual
26/12/22 15:25, 0.084, Actual
26/12/22 15:30, 0, Actual
26/12/22 15:30, 0.04, Actual
26/12/22 15:35, 0, Actual
26/12/22 15:35, 0.082, Actual
26/12/22 15:40, 0, Actual
26/12/22 15:40, 0.097, Actual
26/12/22 15:45, 0, Actual
26/12/22 15:45, 0.098, Actual
26/12/22 15:50, 0, Actual
26/12/22 15:50, 0.119, Actual
26/12/22 15:55, 0.414, Actual
26/12/22 15:55, 0.246, Actual
26/12/22 16:00, 0.415, Actual
26/12/22 16:00, 0.136, Actual
26/12/22 16:05, 0.415, Actual
26/12/22 16:05, 0.155, Actual
26/12/22 16:10, 0.415, Actual
26/12/22 16:10, 0.114, Actual
26/12/22 16:15, 0.411, Actual
26/12/22 16:15, 0.099, Actual
26/12/22 16:20, 0.41, Actual
26/12/22 16:20, 0.076, Actual
26/12/22 16:25, 0.411, Actual
26/12/22 16:25, 0.08, Actual
26/12/22 16:30, 0.418, Actual
26/12/22 16:30, 0.079, Actual
26/12/22 16:35, 0.227, Actual
26/12/22 16:35, 0.075, Actual
26/12/22 16:40, 0.416, Actual
26/12/22 16:40, 0.072, Actual
26/12/22 16:45, 0.413, Actual
26/12/22 16:45, 0.07, Actual
26/12/22 16:50, 0.411, Actual
26/12/22 16:50, 0.072, Actual
26/12/22 16:55, 0.199, Actual
26/12/22 16:55, 0.073, Actual
26/12/22 17:00, 0.303, Actual
26/12/22 17:00, 0.075, Actual
26/12/22 17:05, 0.411, Actual
26/12/22 17:05, 0.073, Actual
26/12/22 17:10, 0.25, Actual
26/12/22 17:10, 0.117, Actual
26/12/22 17:15, 0.264, Actual
26/12/22 17:15, 0.191, Actual
26/12/22 17:20, 0.405, Actual
26/12/22 17:20, 0.289, Actual
26/12/22 17:25, 0.173, Actual
26/12/22 17:25, 0.315, Actual
26/12/22 17:30, 0.235, Actual
26/12/22 17:30, 0.093, Actual
26/12/22 17:35, 0.098, Actual
26/12/22 17:35, 0.07, Actual
26/12/22 17:40, 0.237, Actual
26/12/22 17:40, 0.071, Actual
26/12/22 17:45, 0.177, Actual
26/12/22 17:45, 0.07, Actual
26/12/22 17:50, 0.06, Actual
26/12/22 17:50, 0.071, Actual
26/12/22 17:55, 0.413, Actual
26/12/22 17:55, 0.037, Actual
26/12/22 18:00, 0.062, Actual
26/12/22 18:00, 0.056, Actual
26/12/22 18:05, 0.191, Actual
26/12/22 18:05, 0.053, Actual
26/12/22 18:10, 0.153, Actual
26/12/22 18:10, 0.052, Actual
26/12/22 18:15, 0.099, Actual
26/12/22 18:15, 0.051, Actual
26/12/22 18:20, 0.047, Actual
26/12/22 18:20, 0.052, Actual
26/12/22 18:25, 0.303, Actual
26/12/22 18:25, 0.054, Actual
26/12/22 18:30, 0.126, Actual
26/12/22 18:30, 0.055, Actual
26/12/22 18:35, 0, Actual
26/12/22 18:35, 0.056, Actual
26/12/22 18:40, 0, Actual
26/12/22 18:40, 0.054, Actual
26/12/22 18:45, 0, Actual
26/12/22 18:45, 0.054, Actual
26/12/22 18:50, 0, Actual
26/12/22 18:50, 0.052, Actual
26/12/22 18:55, 0, Actual
26/12/22 18:55, 0.049, Actual
26/12/22 19:00, 0, Actual
26/12/22 19:00, 0.048, Actual
26/12/22 19:05, 0, Actual
26/12/22 19:05, 0.048, Actual
26/12/22 19:10, 0, Actual
26/12/22 19:10, 0.05, Actual
26/12/22 19:15, 0, Actual
26/12/22 19:15, 0.051, Actual
26/12/22 19:20, 0, Actual
26/12/22 19:20, 0.051, Actual
26/12/22 19:25, 0, Actual
26/12/22 19:25, 0.051, Actual
26/12/22 19:30, 0, Actual
26/12/22 19:30, 0.052, Actual
26/12/22 19:35, 0, Actual
26/12/22 19:35, 0.051, Actual
26/12/22 19:40, 0, Actual
26/12/22 19:40, 0.049, Actual
26/12/22 19:45, 0, Actual
26/12/22 19:45, 0.049, Actual
26/12/22 19:50, 0, Actual
26/12/22 19:50, 0.052, Actual
26/12/22 19:55, 0, Actual
26/12/22 19:55, 0.054, Actual
26/12/22 20:00, 0, Actual
26/12/22 20:00, 0.034, Actual
26/12/22 20:05, 0, Actual
26/12/22 20:05, 0.047, Actual
26/12/22 20:10, 0.139, Actual
26/12/22 20:10, 0.052, Actual
26/12/22 20:15, 0.417, Actual
26/12/22 20:15, 0.054, Actual
26/12/22 20:20, 0.005, Actual
26/12/22 20:20, 0.052, Actual
26/12/22 20:25, 0, Actual
26/12/22 20:25, 0.045, Actual
26/12/22 20:30, 0, Actual
26/12/22 20:30, 0.063, Actual
26/12/22 20:35, 0, Actual
26/12/22 20:35, 0.13, Actual
26/12/22 20:40, 0, Actual
26/12/22 20:40, 0.042, Actual
26/12/22 20:45, 0, Actual
26/12/22 20:45, 0.041, Actual
26/12/22 20:50, 0, Actual
26/12/22 20:50, 0.042, Actual
26/12/22 20:55, 0, Actual
26/12/22 20:55, 0.044, Actual
26/12/22 21:00, 0, Actual
26/12/22 21:00, 0.059, Actual
26/12/22 21:05, 0, Actual
26/12/22 21:05, 0.057, Actual
26/12/22 21:10, 0, Actual
26/12/22 21:10, 0.055, Actual
26/12/22 21:15, 0, Actual
26/12/22 21:15, 0.051, Actual
26/12/22 21:20, 0, Actual
26/12/22 21:20, 0.036, Actual
26/12/22 21:25, 0, Actual
26/12/22 21:25, 0.038, Actual
26/12/22 21:30, 0, Actual
26/12/22 21:30, 0.039, Actual
26/12/22 21:35, 0, Actual
26/12/22 21:35, 0.033, Actual
26/12/22 21:40, 0, Actual
26/12/22 21:40, 0.023, Actual
26/12/22 21:45, 0, Actual
26/12/22 21:45, 0.044, Actual
26/12/22 21:50, 0, Actual
26/12/22 21:50, 0.036, Actual
26/12/22 21:55, 0, Actual
26/12/22 21:55, 0.028, Actual
26/12/22 22:00, 0, Actual
26/12/22 22:00, 0.019, Actual
26/12/22 22:05, 0, Actual
26/12/22 22:05, 0.019, Actual
26/12/22 22:10, 0, Actual
26/12/22 22:10, 0.021, Actual
26/12/22 22:15, 0, Actual
26/12/22 22:15, 0.019, Actual
26/12/22 22:20, 0.028, Actual
26/12/22 22:20, 0.019, Actual
26/12/22 22:25, 0.424, Actual
26/12/22 22:25, 0.019, Actual
26/12/22 22:30, 0.124, Actual
26/12/22 22:30, 0.018, Actual
26/12/22 22:35, 0, Actual
26/12/22 22:35, 0.017, Actual
26/12/22 22:40, 0, Actual
26/12/22 22:40, 0.017, Actual
26/12/22 22:45, 0, Actual
26/12/22 22:45, 0.018, Actual
26/12/22 22:50, 0, Actual
26/12/22 22:50, 0.017, Actual
26/12/22 22:55, 0, Actual
26/12/22 22:55, 0.014, Actual
26/12/22 23:00, 0, Actual
26/12/22 23:00, 0.012, Actual
26/12/22 23:05, 0, Actual
26/12/22 23:05, 0.015, Actual
26/12/22 23:10, 0, Actual
26/12/22 23:10, 0.019, Actual
26/12/22 23:15, 0, Actual
26/12/22 23:15, 0.019, Actual
26/12/22 23:20, 0, Actual
26/12/22 23:20, 0.019, Actual
26/12/22 23:25, 0, Actual
26/12/22 23:25, 0.019, Actual
26/12/22 23:30, 0, Actual
26/12/22 23:30, 0.014, Actual
26/12/22 23:35, 0, Actual
26/12/22 23:35, 0.015, Actual
26/12/22 23:40, 0, Actual
26/12/22 23:40, 0.016, Actual
26/12/22 23:45, 0, Actual
26/12/22 23:45, 0.018, Actual
26/12/22 23:50, 0, Actual
26/12/22 23:50, 0.018, Actual
26/12/22 23:55, 0, Actual
26/12/22 23:55, 0.018, Actual
27/12/22 00:00, 0, Actual
27/12/22 00:00, 0.018, Actual
27/12/22 00:05, 0, Actual
27/12/22 00:05, 0.015, Actual
27/12/22 00:10, 0, Actual
27/12/22 00:10, 0.015, Actual
27/12/22 00:15, 0, Actual
27/12/22 00:15, 0.014, Actual
27/12/22 00:20, 0, Actual
27/12/22 00:20, 0.017, Actual
27/12/22 00:25, 0, Actual
27/12/22 00:25, 0.018, Actual
27/12/22 00:30, 0, Actual
27/12/22 00:30, 0.018, Actual
27/12/22 00:35, 0, Actual
27/12/22 00:35, 0.018, Actual
27/12/22 00:40, 0, Actual
27/12/22 00:40, 0.016, Actual
27/12/22 00:45, 0, Actual
27/12/22 00:45, 0.015, Actual
27/12/22 00:50, 0, Actual
27/12/22 00:50, 0.014, Actual
27/12/22 00:55, 0, Actual
27/12/22 00:55, 0.016, Actual
27/12/22 01:00, 0, Actual
27/12/22 01:00, 0.018, Actual
27/12/22 01:05, 0, Actual
27/12/22 01:05, 0.018, Actual
27/12/22 01:10, 0, Actual
27/12/22 01:10, 0.018, Actual
27/12/22 01:15, 0, Actual
27/12/22 01:15, 0.016, Actual
27/12/22 01:20, 0, Actual
27/12/22 01:20, 0.015, Actual
27/12/22 01:25, 0.144, Actual
27/12/22 01:25, 0.014, Actual
27/12/22 01:30, 0.425, Actual
27/12/22 01:30, 0.016, Actual
27/12/22 01:35, 0.038, Actual
27/12/22 01:35, 0.017, Actual
27/12/22 01:40, 0, Actual
27/12/22 01:40, 0.018, Actual
27/12/22 01:45, 0, Actual
27/12/22 01:45, 0.018, Actual
27/12/22 01:50, 0, Actual
27/12/22 01:50, 0.017, Actual
27/12/22 01:55, 0, Actual
27/12/22 01:55, 0.014, Actual
27/12/22 02:00, 0, Actual
27/12/22 02:00, 0.014, Actual
27/12/22 02:05, 0, Actual
27/12/22 02:05, 0.015, Actual
27/12/22 02:10, 0, Actual
27/12/22 02:10, 0.018, Actual
27/12/22 02:15, 0, Actual
27/12/22 02:15, 0.018, Actual
27/12/22 02:20, 0, Actual
27/12/22 02:20, 0.018, Actual
27/12/22 02:25, 0, Actual
27/12/22 02:25, 0.016, Actual
27/12/22 02:30, 0, Actual
27/12/22 02:30, 0.014, Actual
27/12/22 02:35, 0, Actual
27/12/22 02:35, 0.015, Actual
27/12/22 02:40, 0, Actual
27/12/22 02:40, 0.015, Actual
27/12/22 02:45, 0, Actual
27/12/22 02:45, 0.017, Actual
27/12/22 02:50, 0, Actual
27/12/22 02:50, 0.018, Actual
27/12/22 02:55, 0, Actual
27/12/22 02:55, 0.019, Actual
27/12/22 03:00, 0, Actual
27/12/22 03:00, 0.016, Actual
27/12/22 03:05, 0, Actual
27/12/22 03:05, 0.014, Actual
27/12/22 03:10, 0, Actual
27/12/22 03:10, 0.014, Actual
27/12/22 03:15, 0, Actual
27/12/22 03:15, 0.015, Actual
27/12/22 03:20, 0, Actual
27/12/22 03:20, 0.018, Actual
27/12/22 03:25, 0, Actual
27/12/22 03:25, 0.017, Actual
27/12/22 03:30, 0, Actual
27/12/22 03:30, 0.018, Actual
27/12/22 03:35, 0, Actual
27/12/22 03:35, 0.016, Actual
27/12/22 03:40, 0, Actual
27/12/22 03:40, 0.014, Actual
27/12/22 03:45, 0, Actual
27/12/22 03:45, 0.014, Actual
27/12/22 03:50, 0, Actual
27/12/22 03:50, 0.016, Actual
27/12/22 03:55, 0, Actual
27/12/22 03:55, 0.018, Actual
27/12/22 04:00, 0, Actual
27/12/22 04:00, 0.017, Actual
27/12/22 04:05, 0, Actual
27/12/22 04:05, 0.018, Actual
27/12/22 04:10, 0, Actual
27/12/22 04:10, 0.015, Actual
27/12/22 04:15, 0, Actual
27/12/22 04:15, 0.011, Actual
27/12/22 04:20, 0, Actual
27/12/22 04:20, 0.01, Actual
27/12/22 04:25, 0, Actual
27/12/22 04:25, 0.012, Actual
27/12/22 04:30, 0, Actual
27/12/22 04:30, 0.013, Actual
27/12/22 04:35, 0, Actual
27/12/22 04:35, 0.013, Actual
27/12/22 04:40, 0, Actual
27/12/22 04:40, 0.013, Actual
27/12/22 04:45, 0, Actual
27/12/22 04:45, 0.01, Actual
27/12/22 04:50, 0, Actual
27/12/22 04:50, 0.01, Actual
27/12/22 04:55, 0, Actual
27/12/22 04:55, 0.01, Actual
27/12/22 05:00, 0, Actual
27/12/22 05:00, 0.012, Actual
27/12/22 05:05, 0, Actual
27/12/22 05:05, 0.013, Actual
27/12/22 05:10, 0, Actual
27/12/22 05:10, 0.013, Actual
27/12/22 05:15, 0, Actual
27/12/22 05:15, 0.013, Actual
27/12/22 05:20, 0, Actual
27/12/22 05:20, 0.01, Actual
27/12/22 05:25, 0, Actual
27/12/22 05:25, 0.01, Actual
27/12/22 05:30, 0, Actual
27/12/22 05:30, 0.01, Actual
27/12/22 05:35, 0, Actual
27/12/22 05:35, 0.012, Actual
27/12/22 05:40, 0, Actual
27/12/22 05:40, 0.013, Actual
27/12/22 05:45, 0, Actual
27/12/22 05:45, 0.013, Actual
27/12/22 05:50, 0, Actual
27/12/22 05:50, 0.011, Actual
27/12/22 05:55, 0, Actual
27/12/22 05:55, 0.009, Actual
27/12/22 06:00, 0, Actual
27/12/22 06:00, 0.009, Actual
27/12/22 06:05, 0, Actual
27/12/22 06:05, 0.01, Actual
27/12/22 06:10, 0, Actual
27/12/22 06:10, 0.012, Actual
27/12/22 06:15, 0, Actual
27/12/22 06:15, 0.013, Actual
27/12/22 06:20, 0, Actual
27/12/22 06:20, 0.012, Actual
27/12/22 06:25, 0, Actual
27/12/22 06:25, 0.011, Actual
27/12/22 06:30, 0, Actual
27/12/22 06:30, 0.014, Actual
27/12/22 06:35, 0, Actual
27/12/22 06:35, 0.146, Actual
27/12/22 06:40, 0, Actual
27/12/22 06:40, 0.012, Actual
27/12/22 06:45, 0, Actual
27/12/22 06:45, 0.012, Actual
27/12/22 06:50, 0, Actual
27/12/22 06:50, 0.013, Actual
27/12/22 06:55, 0, Actual
27/12/22 06:55, 0.013, Actual
27/12/22 07:00, 0, Actual
27/12/22 07:00, 0.011, Actual
27/12/22 07:05, 0, Actual
27/12/22 07:05, 0.009, Actual
27/12/22 07:10, 0, Actual
27/12/22 07:10, 0.01, Actual
27/12/22 07:15, 0, Actual
27/12/22 07:15, 0.009, Actual
27/12/22 07:20, 0, Actual
27/12/22 07:20, 0.013, Actual
27/12/22 07:25, 0, Actual
27/12/22 07:25, 0.012, Actual
27/12/22 07:30, 0, Actual
27/12/22 07:30, 0.044, Actual
27/12/22 07:35, 0, Actual
27/12/22 07:35, 0.013, Actual
